time,load,wind_power,solar_power,temp,wind_speed,irradiance,snowfall,visibility,precipitation,humidity,dhi,dni,ghi,season,day_of_week
2021-05-13 09:00:00,24818.58333333333,1420.5833333333333,11923.583333333334,25.855,3.065,658.1333333333333,0.0,10000.0,0.0,32.00383333333334,203.78333333333333,568.2333333333333,658.1333333333333,spring,3
2021-05-13 10:00:00,24185.916666666668,1164.5833333333333,12492.75,27.176666666666662,3.3550000000000004,866.4499999999999,0.0,10000.0,0.0,29.28483333333333,209.75,731.5666666666666,866.4499999999999,spring,3
2021-05-13 11:00:00,23677.916666666668,1109.5,12807.166666666666,28.07333333333333,3.686666666666667,998.35,0.0,10000.0,0.0,27.876,139.79999999999998,913.5166666666668,998.35,spring,3
2021-05-13 12:00:00,23710.5,1249.25,12849.666666666666,28.49,3.955,994.2833333333332,0.0,10000.0,0.0,27.523333333333337,136.91666666666666,915.2166666666668,994.2833333333332,spring,3
2021-05-13 13:00:00,24174.33333333333,1415.0,12861.416666666666,28.47833333333333,4.066666666666667,931.2833333333332,0.0,10000.0,0.0,27.763,126.43333333333334,911.3333333333334,931.2833333333332,spring,3
2021-05-13 14:00:00,24727.08333333333,1742.5833333333333,12731.333333333334,28.026666666666667,4.043333333333334,808.25,0.0,10000.0,0.0,28.52133333333333,121.08333333333331,878.1999999999999,808.25,spring,3
2021-05-13 15:00:00,25768.25,2575.583333333333,12371.333333333334,27.660000000000007,4.000000000000001,639.3333333333334,0.0,10000.0,0.0,29.112,111.31666666666666,822.4166666666666,639.3333333333334,spring,3
2021-05-13 16:00:00,26979.0,3010.083333333333,11549.166666666666,25.798333333333336,3.643333333333334,403.75,0.0,10000.0,0.0,32.48,112.41666666666669,622.1833333333333,403.75,spring,3
2021-05-13 17:00:00,28261.916666666668,3318.583333333333,9699.666666666666,23.521666666666665,3.1133333333333333,182.85,0.0,10000.0,0.0,37.70666666666667,75.48333333333333,393.2,182.85,spring,3
2021-05-13 18:00:00,29144.166666666668,3920.4166666666665,5181.916666666667,20.791666666666668,2.645,55.68333333333333,0.0,10000.0,0.0,45.1885,29.416666666666668,179.25,55.68333333333333,spring,3
2021-05-13 19:00:00,29428.83333333333,4120.916666666667,719.9166666666666,19.09166666666667,2.581666666666667,1.7,0.0,10000.0,0.0,49.90583333333333,1.3833333333333335,6.199999999999999,1.7,spring,3
2021-05-13 20:00:00,29574.25,4050.0833333333335,0.0,18.22,2.615,0.0,0.0,10000.0,0.0,52.06066666666667,0.0,0.0,0.0,spring,3
2021-05-13 21:00:00,28620.916666666668,4101.0,0.0,17.508333333333336,2.6183333333333336,0.0,0.0,10000.0,0.0,53.61283333333333,0.0,0.0,0.0,spring,3
2021-05-13 22:00:00,26595.916666666668,4215.416666666667,0.0,16.845000000000002,2.62,0.0,0.0,10000.0,0.0,54.84983333333333,0.0,0.0,0.0,spring,3
2021-05-13 23:00:00,24527.5,4540.416666666667,0.0,16.28,2.611666666666667,0.0,0.0,10000.0,0.0,55.89783333333333,0.0,0.0,0.0,spring,3
2021-05-14 00:00:00,23109.5,5042.166666666667,0.0,15.835,2.575,0.0,0.0,10000.0,0.0,56.81016666666667,0.0,0.0,0.0,spring,4
2021-05-14 01:00:00,22070.5,5023.75,0.0,15.443333333333332,2.53,0.0,0.0,10000.0,0.0,57.95416666666667,0.0,0.0,0.0,spring,4
2021-05-14 02:00:00,21433.25,4915.833333333333,0.0,15.091666666666669,2.476666666666667,0.0,0.0,10000.0,0.0,59.217333333333336,0.0,0.0,0.0,spring,4
2021-05-14 03:00:00,21108.5,4786.5,0.0,14.78,2.428333333333333,0.0,0.0,10000.0,0.0,60.24733333333334,0.0,0.0,0.0,spring,4
2021-05-14 04:00:00,21255.916666666668,4458.5,0.0,14.83,2.4366666666666665,0.7333333333333334,0.0,10000.0,0.0,60.62416666666667,0.6333333333333334,3.033333333333333,0.7333333333333334,spring,4
